Gene	TAP0	TAPHL15	TAPHL120	TP0	TP15	TP120	TPHL15	TPHL120
g6296.t1	3.49406	1.83145	5.00733	2.30271	4.93186	7.47363	1.40421	2.14182
g1053.t1	8.4134	4.40928	6.28458	1.14085	8.71016	8.6748	0.569607	0.911889
g10483.t1	15.3149	8.02581	12.5489	8.62382	16.2647	13.0467	7.53162	11.0555
g3682.t1	16.4641	8.62245	13.5182	2.14166	14.6872	38.1795	4.63982	4.68563
g1932.t1	14.0517	7.35858	14.7733	17.9524	11.0848	20.3099	7.51903	14.2247
g5592.t1	13.5382	7.08754	6.29306	12.2448	11.7097	13.4958	1.03812	8.73469
g3418.t1	10.7601	5.63247	8.80002	6.64498	12.0402	5.35028	5.28188	8.63365
g9371.t1	4.27555	2.23797	3.75999	0.399557	7.66024	5.4241	0.655552	2.56263
g10051.t1	7.95801	4.16533	2.95501	0.377346	6.03234	4.27843	0.506916	0.937048
g10620.t1	10.1045	5.28873	8.14223	3.95506	9.97961	8.15653	0.190204	5.26418
g3104.t1	7.28171	3.81102	7.05974	9.96379	8.41097	7.51258	1.62362	7.55955
g1275.t1	7.17941	3.75653	10.7479	0	11.2526	5.38994	0	0
g9588.t1	17.1735	8.98484	28.7115	25.5519	17.4239	19.1697	16.4698	21.2155
g4576.t1	5.76763	3.01734	16.3136	8.49693	8.95357	10.8428	11.2947	12.0407
g6684.t1	5.73624	3.00008	4.21401	5.71634	5.88536	5.93534	1.86675	4.40145
g4317.t1	7.98299	4.1741	7.30806	5.29588	4.08066	10.8017	5.24747	3.21428
g4031.t1	34.3112	17.9378	16.9994	11.6894	18.0419	27.1421	6.61572	55.8399
g7268.t1	10.2398	5.35242	8.5341	4.8143	8.5588	8.948	2.12884	7.45096
g6009.t1	6.26453	3.27442	8.2077	3.84072	10.2007	8.9578	2.06552	6.46925
g10770.t1	20.5564	10.741	16.076	26.1511	22.9622	32.0938	17.594	17.7099
g168.t1	8.44902	4.41428	6.05396	12.3624	14.6205	15.754	12.3497	11.7639
g1721.t1	7.65761	4.00075	7.47445	16.1597	7.8819	9.52542	5.73883	7.01619
g8783.t1	15.1868	7.93378	12.86	3.49809	10.3602	10.3007	1.48911	3.06307
g8329.t1	37.716	19.6864	64.5703	36.4934	38.6294	36.4146	64.2435	39.385
g3644.t1	6.13967	3.20467	3.11874	0.864046	7.19197	6.97736	0.24613	1.30295
g1101.t1	2.21378	1.15531	1.50769	0	2.8911	3.76473	0.751497	0.257804
g9170.t1	9.28169	4.84313	11.6749	6.78199	13.0445	8.90011	2.23678	0.820794
g570.t1	10.2609	5.35298	9.78546	3.2782	9.56717	9.91944	1.26826	2.12035
g8364.t1	13.7607	7.17829	11.4742	8.14103	13.0033	14.4147	6.1397	6.42606
g8963.t1	11.3679	5.92789	10.2998	0	11.6291	10.6236	2.07999	1.61143
g9474.t1	7.9779	4.15944	8.67059	32.3154	6.57881	5.16432	30.2436	4.31365
g4293.t1	6.75551	3.52148	3.65048	8.30215	9.42027	7.13293	0.85647	4.18286
g5276.t1	12.3755	6.45098	4.68912	17.4048	9.01302	12.5433	4.41172	9.72342
g1923.t1	2.39761	1.24974	2.60834	0.985443	5.89602	2.46512	1.06234	0.771412
g3283.t1	2.03671	1.06138	2.31354	0	5.48277	6.32599	0	1.19018
g121.t1	5.30616	2.76496	5.28665	1.12112	6.72497	5.43802	0.976369	0.741465
g2058.t1	14.7387	7.68001	14.1688	7.00203	11.4987	12.4629	8.8796	10.2126
g2399.t1	5.52736	2.88003	9.17766	17.2124	7.14104	15.1778	9.25397	1.38297
g9568.t1	14.6832	11.3349	10.0202	6.20643	10.8002	11.1289	3.54314	4.25602
g1876.t1	16.6791	8.68861	13.9417	33.8209	12.363	13.0222	26.9368	23.8626
g5947.t1	3.38612	1.76361	3.7265	0.634114	3.46127	7.44239	0.438574	9.46222
g8325.t1	11.054	5.75726	13.4351	23.538	10.1942	18.9131	22.8286	5.39539
g5553.t1	7.24147	3.76953	7.10996	9.24087	5.91686	7.51231	10.4752	3.36227
g6330.t1	7.84827	4.08405	4.64859	4.65683	5.55624	5.79662	4.11808	3.86245
g6000.t1	11.8193	6.14973	23.6236	74.3541	12.1239	18.9139	65.776	18.3692
g8220.t1	7.5484	3.92729	6.15241	3.5293	6.92984	9.13105	1.23904	6.47964
g9617.t1	4.15055	2.15875	3.69835	1.16295	4.81886	3.97862	1.28281	1.10709
g2481.t1	5.88464	3.06065	1.99182	15.6758	9.7781	4.12222	6.46892	0.524381
g943.t1	8.83685	4.59578	2.74618	7.72811	8.18444	6.16138	1.16527	1.08898
g5131.t1	17.9895	9.35542	13.5537	16.7683	21.4711	26.5282	25.2537	8.48403
g2203.t1	6.95003	3.61401	6.7277	2.61892	7.99082	7.42094	1.51162	2.85415
g6994.t1	12.176	6.33099	16.0312	88.5087	9.08043	9.50855	44.6995	2.43805
